team_name_1,team_name_2,timestamp,team_1_adj_pts,team_2_adj_pts,total_adj_pts,team_1_win_percentage,team_2_win_percentage,team_1_actual_points,team_2_actual_points,total_actual_points,moneyline_prediction,actual_winner,moneyline_result,total_o_u_points,o_u_prediction,o_u_result,,
Phoenix,Golden State,10/24/23 0:00,115.14,115.11,230.25,0.5,0.5,108,104,212,Phoenix,Phoenix,Win,232,Under,Win,,
LA Lakers,Denver,10/24/23 0:00,113.62,115.35,228.97,0.45,0.55,107,119,226,Denver,Denver,Win,227.5,Over,Loss,,
Atlanta,Charlotte,10/25/23 0:00,117.5,117.5,235,0.51,0.49,110,116,226,Atlanta,Charlotte,Loss,236,Under,Win,,
Washington,Indiana,10/25/23 0:00,117,117,234,0.51,0.49,120,143,263,Washington,Indiana,Loss,235,Under,Loss,,
Houston,Orlando,10/25/23 0:00,110.5,110.5,221,0.49,0.51,86,116,202,Orlando,Orlando,Win,220.5,Over,Loss,,
Boston,NY Knicks,10/25/23 0:00,112.5,112.5,225,0.51,0.49,108,104,212,Boston,Boston,Win,224,Over,Loss,,
Cleveland,Brooklyn,10/25/23 0:00,110,110,220,0.51,0.49,114,113,227,Cleveland,Cleveland,Win,219.5,Over,Win,,
Minnesota,Toronto,10/25/23 0:00,112,112,224,0.49,0.51,94,97,191,Toronto,Toronto,Win,223,Over,Loss,,
Detroit,Miami,10/25/23 0:00,110,110,220,0.49,0.51,102,103,205,Miami,Miami,Win,219,Over,Loss,,
New Orleans,Memphis,10/25/23 0:00,113,113,226,0.49,0.51,111,104,215,Memphis,New Orleans,Loss,225,Over,Loss,,
Okla City,Chicago,10/25/23 0:00,114,114,228,0.49,0.51,124,104,228,Chicago,Okla City,Loss,227.5,Over,Win,,
Sacramento,Utah,10/25/23 0:00,118.5,118.5,237,0.51,0.49,130,114,244,Sacramento,Sacramento,Win,236,Over,Win,,
Dallas,San Antonio,10/25/23 0:00,115,115,230,0.51,0.49,126,119,245,Dallas,Dallas,Win,229.5,Over,Win,,
Portland,LA Clippers,10/25/23 0:00,114,114,228,0.49,0.51,111,123,234,LA Clippers,LA Clippers,Win,227.5,Over,Win,,
Philadelphia,Milwaukee,10/26/23 0:00,113.8,113.5,227.3,0.51,0.49,117,118,235,Philadelphia,Milwaukee,Loss,226,Over,Win,,
Phoenix,LA Lakers,10/26/23 0:00,113.98,109.86,223.84,0.62,0.39,95,100,195,Phoenix,LA Lakers,Loss,224.5,Under,Win,,
Denver,Memphis,10/27/23 0:00,114.52,109.524,224.044,0.64,0.36,108,104,212,Denver,Denver,Win,222,Over,Loss,,
Okla City,Cleveland,10/27/23 0:00,115.071,111.419,226.49,0.6,0.4,108,105,213,Okla City,Okla City,Win,228,Under,Win,,
Golden State,Sacramento,10/27/23 0:00,113.474,118.527,232.001,0.36,0.64,122,114,236,Sacramento,Golden State,Loss,238,Under,Win,,
Miami,Boston,10/27/23 0:00,106.748,108.895,215.643,0.44,0.56,111,119,230,Boston,Boston,Win,217.5,Under,Loss,,
New York,Atlanta,10/27/23 0:00,113.003,111.904,224.907,0.53,0.47,126,120,246,New York,New York,Win,229.5,Under,Loss,,
Brooklyn,Dallas,10/27/23 0:00,114.609,116.522,231.131,0.45,0.55,120,125,245,Dallas,Dallas,Win,231.5,Under,Loss,,
LA Clippers,Utah,10/27/23 0:00,121.142,113.913,235.055,0.7,0.3,118,120,238,LA Clippers,Utah,Loss,227,Over,Win,,
Toronto,Chicago,10/27/23 0:00,111.163,105.486,216.649,0.66,0.35,103,104,207,Toronto,Chicago,Loss,216.5,Over,Loss,,
Orlando,Portland,10/27/23 0:00,116.905,105.925,222.829,0.78,0.22,102,97,199,Orlando,Orlando,Win,225,Under,Win,,
Detroit,Charlotte,10/27/23 0:00,109.812,112.117,221.928,0.44,0.57,111,99,210,Charlotte,Detroit,Loss,227,Under,Win,,
Houston,San Antonio,10/27/23 0:00,110.677,116.648,227.326,0.34,0.67,122,126,248,San Antonio,San Antonio,Win,226,Over,Win,,
New York,New Orleans,10/28/23 0:00,112.7,112.725,224.106,0.46,0.54,87,96,183,New Orleans,New Orleans,Win,225.5,Under,Win,,
Philadelphia,Toronto,10/28/23 0:00,106.4,110.159,220.291,0.5,0.5,114,107,221,Philadelphia,Philadelphia,Win,216,Over,Win,,
Miami,Minnesota,10/28/23 0:00,104.55,107.118,214.239,0.5,0.5,90,106,196,Miami,Minnesota,Loss,218.5,Under,Win,,
Indiana,Cleveland,10/28/23 0:00,110.35,114.954,233.558,0.6,0.4,125,113,238,Indiana,Indiana,Win,224.5,Over,Win,,
Utah,Phoenix,10/28/23 0:00,107.6,114.103,226.068,0.44,0.56,104,126,230,Phoenix,Phoenix,Win,221.5,Over,Win,,
Memphis,Washington,10/28/23 0:00,116.6,113.868,232.878,0.64,0.36,106,113,219,Memphis,Washington,Loss,227,Over,Loss,,
Chicago,Detroit,10/28/23 0:00,108.4,110.456,219.528,0.46,0.54,102,118,220,Detroit,Detroit,Win,218,Over,Win,,
Denver,Okla City,10/29/23 0:00,112.433,112.372,224.805,0.5,0.5,128,95,223,Denver,Denver,Win,230.5,Under,Win,,
LA Lakers,Sacramento,10/29/23 0:00,113.854,116.044,229.898,0.44,0.56,127,132,259,Sacramento,Sacramento,Win,235,Under,Loss,,
Atlanta,Milwaukee,10/29/23 0:00,116.024,118.545,234.569,0.43,0.57,127,110,237,Milwaukee,Atlanta,Loss,239,Under,Win,,
Golden State,Houston,10/29/23 0:00,117.656,110.528,228.184,0.69,0.31,106,95,201,Golden State,Golden State,Win,224.5,Over,Loss,,
Portland,Philadelphia,10/29/23 0:00,109.992,114.775,224.767,0.37,0.63,98,126,224,Philadelphia,Philadelphia,Win,217,Over,Win,,
San Antonio,LA Clippers,10/29/23 0:00,116.139,120.282,236.421,0.39,0.62,83,123,206,LA Clippers,LA Clippers,Win,228.5,Over,Loss,,
New York,Cleveland,10/31/23 0:00,110.399,110.348,220.747,0.5,0.5,109,91,200,New York,New York,Win,213.5,Over,Loss,,
Orlando,LA Clippers,10/31/23 0:00,109.175,111.154,220.329,0.45,0.56,102,118,220,LA Clippers,LA Clippers,Win,219,Over,Win,,
San Antonio,Phoenix,10/31/23 0:00,109.284,117.404,226.689,0.28,0.72,115,114,229,Phoenix,San Antonio,Loss,226,Over,Win,,
Orlando,Utah,11/2/23 0:00,113.346,111.804,225.151,0.54,0.46,115,113,228,Orlando,Orlando,Win,221,Over,Win,,
Toronto,Philadelphia,11/2/23 0:00,109.05,112.019,221.069,0.42,0.58,99,114,213,Philadelphia,Philadelphia,Win,215,Over,Loss,,
Detroit,New Orleans,11/2/23 0:00,109.625,111.312,220.937,0.45,0.55,116,125,241,New Orleans,New Orleans,Win,218,Over,Win,,
San Antonio,Phoenix,11/2/23 0:00,110.44,117.119,227.56,0.32,0.68,132,121,253,Phoenix,San Antonio,Loss,226,Over,Win,,
Dallas,Denver,11/3/23 0:00,112.69,113.424,226.114,0.48,0.52,114,125,239,Denver,Denver,Win,225.5,Over,Win,,
New York,Milwaukee,11/3/23 0:00,113.152,111.351,224.503,0.55,0.45,105,110,215,New York,Milwaukee,Loss,224.5,Over,Loss,,
Golden State,Okla City,11/3/23 0:00,114.798,112.307,227.105,0.57,0.43,141,139,280,Golden State,Golden State,Win,226.5,Over,Win,,
Cleveland,Indiana,11/3/23 0:00,114.585,112.611,227.195,0.56,0.45,116,121,237,Cleveland,Indiana,Loss,224.5,Over,Win,,
Brooklyn,Chicago,11/3/23 0:00,113.887,111.621,225.508,0.56,0.44,109,107,216,Brooklyn,Brooklyn,Win,222.5,Over,Loss,,
Washington,Miami,11/3/23 0:00,112.258,113.399,225.657,0.47,0.53,114,121,235,Miami,Miami,Win,225,Over,Win,,
Memphis,Portland,11/3/23 0:00,112.172,111.766,223.938,0.51,0.49,113,115,228,Memphis,Portland,Loss,222,Over,Win,,
LA Lakers,Orlando,11/4/23 0:00,112.033,112.265,224.298,0.49,0.51,101,120,221,Orlando,Orlando,Win,220,Over,Win,,
Phoenix,Philadelphia,11/4/23 0:00,110.491,113.656,224.147,0.41,0.59,100,112,212,Philadelphia,Philadelphia,Win,220.5,Over,Loss,,
Atlanta,New Orleans,11/4/23 0:00,115.444,114.609,230.053,0.52,0.48,123,105,228,Atlanta,Atlanta,Win,233.5,Under,Win,,
Boston,Brooklyn,11/4/23 0:00,117.495,111.611,229.106,0.66,0.34,124,114,238,Boston,Boston,Win,229.5,Under,Loss,,
Utah,Minnesota,11/4/23 0:00,111.835,114.163,225.998,0.44,0.57,95,123,218,Minnesota,Minnesota,Win,225.5,Over,Loss,,
Chicago,Denver,11/4/23 0:00,108.699,113.069,221.768,0.38,0.62,101,123,224,Denver,Denver,Win,216.5,Over,Win,,
Sacramento,Houston,11/4/23 0:00,118.721,113.107,231.827,0.66,0.35,89,107,196,Sacramento,Houston,Loss,223.5,Over,Loss,,
Charlotte,Indiana,11/4/23 0:00,116.789,118.399,235.188,0.46,0.55,125,124,249,Indiana,Charlotte,Loss,238.5,Under,Loss,,
Golden State,Cleveland,11/5/23 0:00,113.133,110.8,223.932,0.57,0.44,104,115,219,Golden State,Cleveland,Loss,222,Over,Loss,,
Phoenix,Detroit,11/5/23 0:00,113.344,110.922,224.266,0.57,0.43,120,105,225,Phoenix,Phoenix,Win,221.5,Over,Win,,
Toronto,San Antonio,11/5/23 0:00,115.202,111.293,226.495,0.61,0.39,123,116,239,Toronto,Toronto,Win,221,Over,Win,,
Charlotte,Dallas,11/5/23 0:00,114.223,118.347,232.57,0.39,0.62,118,124,242,Dallas,Dallas,Win,235,Under,Loss,,
Memphis,Portland,11/5/23 0:00,112.623,112.16,224.783,0.51,0.49,112,100,212,Memphis,Memphis,Win,217,Over,Loss,,
Boston,Minnesota,11/6/23 0:00,114.333,110.792,225.125,0.6,0.4,109,114,223,Boston,Minnesota,Loss,225.5,Under,Win,,
LA Clippers,New York,11/6/23 0:00,112.36,110.042,222.402,0.56,0.44,97,111,208,LA Clippers,New York,Loss,226.5,Under,Win,,
Dallas,Orlando,11/6/23 0:00,113.161,112.827,225.987,0.51,0.49,117,102,219,Dallas,Dallas,Win,224.5,Over,Loss,,
Atlanta,Okla City,11/6/23 0:00,118.534,116.675,235.209,0.55,0.45,117,126,243,Atlanta,Okla City,Loss,236.5,Under,Loss,,
Milwaukee,Brooklyn,11/6/23 0:00,114.822,115.296,230.118,0.49,0.51,129,125,254,Brooklyn,Milwaukee,Loss,231.5,Under,Loss,,
LA Lakers,Miami,11/6/23 0:00,112.261,111.815,224.076,0.51,0.49,107,108,215,LA Lakers,Miami,Loss,222.5,Over,Loss,,
New Orleans,Denver,11/6/23 0:00,109.561,113.364,222.925,0.39,0.61,116,134,250,Denver,Denver,Win,223,Under,Loss,,
Sacramento,Houston,11/6/23 0:00,115.797,112.596,228.392,0.59,0.41,97,122,219,Sacramento,Houston,Loss,219,Over,Loss,,
Golden State,Detroit,11/6/23 0:00,116.022,111.709,227.731,0.62,0.38,120,109,229,Golden State,Golden State,Win,227.5,Over,Win,,
Utah,Chicago,11/6/23 0:00,113.497,113.527,227.024,0.5,0.5,113,130,243,Utah,Chicago,Loss,223,Over,Win,,
San Antonio,Indiana,11/6/23 0:00,117.742,120.283,238.025,0.43,0.57,111,152,263,Indiana,Indiana,Win,239,Under,Loss,,
