team_name_1,team_1_pf,team_1_pf_timestamp,team_1_pa,team_1_pa_timestamp,team_name_2,team_2_pf,team_2_pf_timestamp,team_2_pa,team_2_pa_timestamp,team_1_adj_pts,team_2_adj_pts,total_adj_points,team_1_win_percentage,team_2_win_percentage
Golden State,New Orleans,,,10/30/23 0:00,New Orleans,,,,10/30/23 0:00,109.102,110.045,219.147,0.470,0.530
Minnesota,Atlanta,,,10/30/23 0:00,Atlanta,,,,10/30/23 0:00,112.534,111.3,223.835,0.540,0.470
Orlando,LA Lakers,,,10/30/23 0:00,LA Lakers,,,,10/30/23 0:00,112.746,108.134,220.88,0.630,0.370
Miami,Milwaukee,,,10/30/23 0:00,Milwaukee,,,,10/30/23 0:00,111.393,112.203,223.596,0.480,0.520
Dallas,Memphis,,,10/30/23 0:00,Memphis,,,,10/30/23 0:00,115.755,113.555,229.31,0.560,0.440
Boston,Washington,,,10/30/23 0:00,Washington,,,,10/30/23 0:00,117.28,111.989,229.27,0.650,0.360
Chicago,Indiana,,,10/30/23 0:00,Indiana,,,,10/30/23 0:00,112.915,119.078,231.993,0.330,0.670
Utah,Denver,,,10/30/23 0:00,Denver,,,,10/30/23 0:00,110.62,119.053,229.674,0.280,0.730
Detroit,Okla City,,,10/30/23 0:00,Okla City,,,,10/30/23 0:00,112.331,111.513,223.844,0.520,0.480
Brooklyn,Charlotte,,,10/30/23 0:00,Charlotte,,,,10/30/23 0:00,114.15,112.477,226.627,0.550,0.450
Portland,Toronto,,,10/30/23 0:00,Toronto,,,,10/30/23 0:00,107.675,112.271,219.946,0.370,0.630
New York,109.9,10/31/23 16:15,109.75,10/31/23 16:15,Cleveland,110.95,10/31/23 16:15,110.9,10/31/23 16:15,110.399,110.348,220.747,0.502,0.498
Orlando,109.2,10/31/23 16:15,105.15,10/31/23 16:15,LA Clippers,117.5,10/31/23 16:15,109.15,10/31/23 16:15,109.175,111.154,220.329,0.445,0.555
San Antonio,111.15,10/31/23 16:15,123.4,10/31/23 16:15,Phoenix,111.7,10/31/23 16:15,107.45,10/31/23 16:15,109.284,117.404,226.689,0.283,0.717LA Clippers,117.1,2023-11-01 12:55:52,108.8,2023-11-01 12:55:56,LA Lakers,113.15,2023-11-01 12:55:52,113.85,2023-11-01 12:55:56,115.464,110.954,226.417,0.625,0.375
Sacramento,122.75,2023-11-01 12:55:52,119.45,2023-11-01 12:55:56,Golden State,116.8,2023-11-01 12:55:52,110.7,2023-11-01 12:55:56,116.569,118.118,234.687,0.457,0.543
Denver,115.8,2023-11-01 12:55:52,106.5,2023-11-01 12:55:56,Minnesota,109.7,2023-11-01 12:55:52,110.05,2023-11-01 12:55:56,112.888,108.088,220.977,0.633,0.367
New Orleans,108.7,2023-11-01 12:55:52,109.8,2023-11-01 12:55:56,Okla City,115.05,2023-11-01 12:55:52,114.4,2023-11-01 12:55:56,111.514,112.394,223.908,0.476,0.524
Milwaukee,116.85,2023-11-01 12:55:52,116.6,2023-11-01 12:55:56,Toronto,106.15,2023-11-01 12:55:52,107.05,2023-11-01 12:55:56,111.843,111.252,223.095,0.517,0.483
Cleveland,108.5,2023-11-01 12:55:52,110.15,2023-11-01 12:55:56,New York,110.3,2023-11-01 12:55:52,107.65,2023-11-01 12:55:56,108.074,110.225,218.299,0.439,0.561
Indiana,120.3,2023-11-01 12:55:52,117.25,2023-11-01 12:55:56,Boston,117.25,2023-11-01 12:55:52,109.1,2023-11-01 12:55:56,114.563,117.25,231.813,0.424,0.576
Brooklyn,117.2,2023-11-01 12:55:52,116.05,2023-11-01 12:55:56,Miami,106.8,2023-11-01 12:55:52,110.65,2023-11-01 12:55:56,113.878,111.329,225.207,0.572,0.428
Memphis,111.05,2023-11-01 12:55:52,113.6,2023-11-01 12:55:56,Utah,113.55,2023-11-01 12:55:52,119.5,2023-11-01 12:55:56,115.198,113.575,228.773,0.546,0.454
Chicago,109.15,2023-11-01 12:55:53,112.05,2023-11-01 12:55:56,Dallas,119.75,2023-11-01 12:55:53,115.2,2023-11-01 12:55:56,112.134,115.836,227.97,0.397,0.603
Washington,113.25,2023-11-01 12:55:53,119.7,2023-11-01 12:55:57,Atlanta,119.6,2023-11-01 12:55:53,117.25,2023-11-01 12:55:57,115.233,119.65,234.883,0.377,0.623
Portland,107.35,2023-11-01 12:55:53,113.95,2023-11-01 12:55:57,Detroit,110.55,2023-11-01 12:55:53,112.75,2023-11-01 12:55:57,110.017,112.237,222.254,0.438,0.562
Charlotte,111.5,2023-11-01 12:55:53,117.6,2023-11-01 12:55:57,Houston,105.85,2023-11-01 12:55:53,117.3,2023-11-01 12:55:57,114.363,111.57,225.934,0.578,0.422
LA Clippers,117.1,2023-11-01 12:57:13,108.8,2023-11-01 12:57:16,LA Lakers,113.15,2023-11-01 12:57:13,113.85,2023-11-01 12:57:16,115.464,110.954,226.417,0.625,0.375
Sacramento,122.75,2023-11-01 12:57:13,119.45,2023-11-01 12:57:17,Golden State,116.8,2023-11-01 12:57:13,110.7,2023-11-01 12:57:17,116.569,118.118,234.687,0.457,0.543
Denver,115.8,2023-11-01 12:57:13,106.5,2023-11-01 12:57:17,Minnesota,109.7,2023-11-01 12:57:13,110.05,2023-11-01 12:57:17,112.888,108.088,220.977,0.633,0.367
