team_name_1,team_name_2,timestamp,team_1_adj_pts,team_2_adj_pts,total_adj_pts,team_1_win_percentage,team_2_win_percentage,team_1_actual_points,team_2_actual_points,total_actual_points,moneyline_prediction,actual_winner,moneyline_result,total_o_u_points,o_u_prediction,o_u_result,,
Denver,Kansas City,10/12/23,21.36,24.04,45.4,0.41,0.59,8,19,27,Kansas City,,Win,48,Under,Win,,
Baltimore,Tennessee,10/15/23,21.1,18.16,39.26,0.59,0.41,24,16,40,Baltimore,,Win,42.5,Under,Win,,
Carolina,Miami,10/15/23,21.57,25.69,47.26,0.39,0.61,21,42,63,Miami,,Win,47.5,Under,Loss,,
Indianapolis,Jacksonville,10/15/23,20.95,23.74,44.69,0.42,0.58,20,37,57,Jacksonville,,Win,43.5,Over,Win,,
New Orleans,Houston,10/15/23,21.83,20.15,41.98,0.54,0.46,13,20,33,New Orleans,,Loss,41.5,Over,Loss,,
San Francisco,Cleveland,10/15/23,25.77,18.59,44.36,0.69,0.31,17,19,36,San Francisco,,Loss,35.5,Over,Win,,
Seattle,Cincinatti,10/15/23,22.51,22.81,45.32,0.48,0.52,13,17,30,Cincinatti,,Win,45.5,Under,Win,,
Minnesota,Chicago,10/15/23,25.26,23.15,48.41,0.54,0.46,19,13,32,Minnesota,,Win,44.5,Over,Loss,,
Washington,Atlanta,10/15/23,21.49,19.62,41.11,0.57,0.43,24,16,40,Washington,,Win,41.5,Under,Win,,
New England,Las Vegas,10/15/23,19.96,19.94,39.9,0.47,0.53,17,21,38,Las Vegas,,Win,41.5,Under,Win,,
Detroit,Tampa Bay,10/15/23,24.64,22.18,46.82,0.58,0.42,20,6,26,Detroit,,Win,43.5,Over,Loss,,
Arizona,LA Rams,10/15/23,21.68,23.12,44.8,0.46,0.54,9,26,35,LA Rams,,Win,47.5,Under,Win,,
Philadelphia,NY Jets,10/15/23,23.08,18.88,41.96,0.64,0.36,14,20,34,Philadelphia,,Loss,43.5,Under,Win,,
NY Giants,Buffalo,10/15/23,17.91,26.04,43.95,0.28,0.72,9,14,23,Buffalo,,Win,43.5,Over,Loss,,
Dallas,LA Chargers,10/16/23,24.88,22.39,47.27,0.57,0.43,20,17,37,Dallas,,Win,50.5,Under,Win,,
Jacksonville,New Orleans,10/19/23,20.81,19.78,40.59,0.53,0.47,31,24,55,Jacksonville,,Win,39.5,Over,Win,,
Atlanta,Tampa Bay,10/22/23,19.298,19.681,38.979,0.49,0.51,16,13,29,Tampa Bay,,Loss,37.5,Over,Loss,,
Washington,NY Giants,10/22/23,22.774,20.229,43.003,0.58,0.42,7,14,21,Washington,,Loss,37.5,Over,Loss,,
Buffalo,New England,10/22/23,25.357,16.849,42.206,0.73,0.28,25,29,54,Buffalo,,Loss,40,Over,Win,,
Cleveland,Indianapolis,10/22/23,22.506,19.539,42.045,0.58,0.42,39,38,77,Cleveland,,Win,41,Over,Win,,
Las Vegas,Chicago,10/22/23,23.749,21.648,45.397,0.56,0.44,12,30,42,Las Vegas,,Loss,38,Over,Win,,
Detroit,Baltimore,10/22/23,21.543,21.647,43.19,0.5,0.51,6,36,42,Baltimore,,Win,43,Over,Loss,,
Pittsburgh,LA Rams,10/22/23,18.894,20.898,39.792,0.44,0.56,24,17,41,LA Rams,,Loss,44,Under,Win,,
Arizona,Seattle,10/22/23,21.386,25.524,46.911,0.39,0.61,10,20,30,Seattle,,Win,44.5,Over,Loss,,
Green Bay,Denver,10/22/23,24.573,20.646,45.219,0.61,0.39,17,19,36,Green Bay,,Loss,45,Over,Loss,,
LA Chargers,Kansas City,10/22/23,21.189,25.361,46.55,0.38,0.62,17,31,48,Kansas City,,Win,47.5,Under,Loss,,
Miami,Philadelphia,10/22/23,24.821,26.173,50.994,0.46,0.54,17,31,48,Philadelphia,,Win,51.5,Under,Win,,
San Francisco,Minnesota,10/23/23,26.061,19.146,45.207,0.69,0.31,17,22,39,San Francisco,,Loss,44,Over,Loss,,
Tampa Bay,Buffalo,10/26/23,17.849,23.337,41.186,0.35,0.65,18,24,42,Buffalo,,Win,42,Under,Loss,,
Philadelphia,Washington,10/29/23,25.664,19.698,45.363,0.663,0.337,38,31,69,Philadelphia,,Win,42,Over,Win,,
Atlanta,Tennessee,10/29/23,19.613,19.047,38.66,0.517,0.483,23,28,51,Atlanta,,Loss,35.5,Over,Win,,
Jacksonville,Pittsburgh,10/29/23,22.482,19.321,41.803,0.588,0.412,20,43,63,Jacksonville,,Loss,41,Over,Win,,
NY Jets,NY Giants,10/29/23,20.777,17.88,38.657,0.582,0.418,13,10,23,NY Jets,,Win,34,Over,Loss,,
New England,Miami,10/29/23,21.323,25.764,47.087,0.377,0.623,17,31,48,Miami,,Win,46.5,Over,Win,,
New Orleans,Indianapolis,10/29/23,22.429,20.175,42.604,0.563,0.437,38,27,65,New Orleans,,Win,44.5,Under,Loss,,
Minnesota,Green Bay,10/29/23,22.565,22.632,45.197,0.498,0.502,24,10,34,Green Bay,,Loss,41.5,Over,Loss,,
LA Rams,Dallas,10/29/23,19.126,23.674,42.8,0.373,0.627,20,43,63,Dallas,,Win,44,Under,Loss,,
Houston,Carolina,10/29/23,22.877,20.621,43.498,0.563,0.437,13,15,28,Houston,,Loss,43,Over,Loss,,
Cleveland,Seattle,10/29/23,21.949,22.319,44.269,0.489,0.511,20,24,44,Seattle,,Win,38.5,Over,Win,,
Cincinnati,San Francisco,10/29/23,18.646,23.599,42.245,0.364,0.636,31,17,48,San Francisco,,Loss,44.5,Under,Loss,,
