team_name_1,team_name_2,timestamp,team_1_adj_pts,team_2_adj_pts,total_adj_pts,team_1_win_percentage,team_2_win_percentage,team_1_actual_points,team_2_actual_points,total_actual_points,moneyline_prediction,actual_winner,moneyline_result,total_o_u_points,o_u_prediction,o_u_result
Boston,Tampa Bay,2023-11-20 09:15:01,3.524,2.646,6.17,0.525,0.475,4,5,9,Boston,Tampa Bay,Loss,6.5,Under,Loss
Edmonton,Florida,2023-11-20 09:15:01,2.823,3.414,6.237,0.484,0.516,3,5,8,Florida,Florida,Win,7.0,Under,Loss
Colorado,Nashville,2023-11-20 09:15:01,3.589,3.03,6.618,0.515,0.485,3,4,7,Colorado,Nashville,Loss,6.0,Over,Win
NY Rangers,Dallas,2023-11-20 09:15:01,3.058,2.727,5.785,0.509,0.491,3,6,9,NY Rangers,Dallas,Loss,6.0,Under,Loss
LA Kings,Arizona,2023-11-20 09:15:01,3.506,2.919,6.425,0.517,0.483,4,1,5,LA Kings,LA Kings,Win,6.5,Under,Win
Calgary,Seattle,2023-11-20 09:15:01,3.128,2.968,6.096,0.504,0.496,4,3,7,Calgary,Calgary,Win,6.0,Over,Win
San Jose,Vancouver,2023-11-20 09:15:01,1.956,4.205,6.161,0.438,0.562,1,3,4,Vancouver,Vancouver,Win,6.5,Under,Win
Boston,Florida,2023-11-21 10:44:41,3.072,2.629,5.701,0.513,0.487,0,0,0,Boston,Tie,Loss,6.0,Under,Win
Buffalo,Washington,2023-11-21 10:44:41,2.749,2.798,5.547,0.499,0.501,0,0,0,Washington,Tie,Loss,6.5,Under,Win
Edmonton,Carolina,2023-11-21 10:44:41,3.058,3.546,6.603,0.487,0.513,0,0,0,Carolina,Tie,Loss,6.5,Over,Loss
Chicago,Columbus,2023-11-21 10:44:41,3.012,3.063,6.075,0.499,0.501,0,0,0,Columbus,Tie,Loss,6.5,Under,Win
New Jersey,Detroit,2023-11-21 10:44:41,3.516,3.698,7.214,0.495,0.505,0,0,0,Detroit,Tie,Loss,7.0,Over,Loss
NY Rangers,Pittsburgh,2023-11-21 10:44:41,3.027,2.885,5.911,0.504,0.496,0,0,0,NY Rangers,Tie,Loss,6.5,Under,Win
Winnipeg,Tampa Bay,2023-11-21 10:44:41,3.67,3.342,7.012,0.509,0.491,0,0,0,Winnipeg,Tie,Loss,6.5,Over,Loss
Philadelphia,NY Islanders,2023-11-21 10:44:41,3.285,2.704,5.989,0.516,0.484,0,0,0,Philadelphia,Tie,Loss,6.0,Under,Win
Calgary,Nashville,2023-11-21 10:44:41,3.112,3.192,6.304,0.497,0.503,0,0,0,Nashville,Tie,Loss,6.0,Over,Loss
Las Vegas,Dallas,2023-11-21 10:44:41,3.05,2.953,6.003,0.504,0.496,0,0,0,Las Vegas,Tie,Loss,6.0,Over,Loss
Vancouver,Colorado,2023-11-21 10:44:41,3.581,3.016,6.597,0.516,0.484,0,0,0,Vancouver,Tie,Loss,6.5,Over,Loss
San Jose,Seattle,2023-11-21 10:44:41,2.291,3.324,5.616,0.471,0.529,0,0,0,Seattle,Tie,Loss,6.5,Under,Win
Boston,Florida,2023-11-22 10:41:27,3.072,2.629,5.701,0.513,0.487,3,1,4,Boston,Boston,Win,6.0,Under,Win
Buffalo,Washington,2023-11-22 10:41:27,2.749,2.798,5.547,0.499,0.501,3,4,7,Washington,Washington,Win,6.0,Under,Loss
Edmonton,Carolina,2023-11-22 10:41:27,3.058,3.546,6.603,0.486,0.514,3,6,9,Carolina,Carolina,Win,6.5,Over,Win
Chicago,Columbus,2023-11-22 10:41:27,3.012,3.063,6.075,0.498,0.502,3,7,10,Columbus,Columbus,Win,6.5,Under,Loss
New Jersey,Detroit,2023-11-22 10:41:27,3.516,3.698,7.214,0.495,0.505,0,4,4,Detroit,Detroit,Win,6.5,Over,Loss
NY Rangers,Pittsburgh,2023-11-22 10:41:27,3.027,2.885,5.911,0.504,0.496,1,0,1,NY Rangers,NY Rangers,Win,6.5,Under,Win
Winnipeg,Tampa Bay,2023-11-22 10:41:27,3.67,3.342,7.012,0.508,0.492,3,2,5,Winnipeg,Winnipeg,Win,6.5,Over,Loss
Philadelphia,NY Islanders,2023-11-22 10:41:27,3.285,2.704,5.989,0.516,0.484,2,3,5,Philadelphia,NY Islanders,Loss,6.0,Under,Win
