team_name_1,team_1_pf,team_1_pf_timestamp,team_1_pa,team_1_pa_timestamp,team_name_2,team_2_pf,team_2_pf_timestamp,team_2_pa,team_2_pa_timestamp,team_1_adj_pts,team_2_adj_pts,total_adj_points,team_1_win_percentage,team_2_win_percentage
Toronto,3.53,2023-11-17 10:55:35,3.53,2023-11-17 10:54:47,Detroit,3.69,2023-11-17 10:55:35,3.38,2023-11-17 10:54:47,3.454,3.609,7.063,0.496,0.504
Buffalo,2.88,2023-11-17 10:55:35,3.25,2023-11-17 10:54:47,Winnipeg,3.67,2023-11-17 10:55:35,3.27,2023-11-17 10:54:47,3.069,3.454,6.522,0.49,0.51
Florida,3.13,2023-11-17 10:55:35,2.81,2023-11-17 10:54:47,Anaheim,3.06,2023-11-17 10:55:35,3.19,2023-11-17 10:54:47,3.16,2.932,6.092,0.506,0.494
Minnesota,3.27,2023-11-18 09:51:43,4.2,2023-11-18 09:51:30,Ottawa,3.93,2023-11-18 09:51:43,3.43,2023-11-18 09:51:30,3.349,4.063,7.412,0.479,0.521
Las Vegas,,2023-11-18 09:51:43,,2023-11-18 09:51:30,Philadelphia,3.19,2023-11-18 09:51:43,2.94,2023-11-18 09:51:30,,,,,
Chicago,2.57,2023-11-18 09:51:43,3.5,2023-11-18 09:51:30,Nashville,2.93,2023-11-18 09:51:43,3.47,2023-11-18 09:51:30,2.986,3.202,6.189,0.493,0.507
Edmonton,2.87,2023-11-18 09:51:43,3.67,2023-11-18 09:51:30,Tampa Bay,3.35,2023-11-18 09:51:43,3.59,2023-11-18 09:51:30,3.21,3.506,6.716,0.491,0.509
Arizona,3.31,2023-11-18 09:51:43,3.0,2023-11-18 09:51:30,Winnipeg,3.63,2023-11-18 09:51:43,3.19,2023-11-18 09:51:30,3.249,3.3,6.549,0.499,0.501
Montréal,,2023-11-18 09:51:43,,2023-11-18 09:51:30,Boston,3.33,2023-11-18 09:51:43,2.0,2023-11-18 09:51:30,,,,,
NY Islanders,2.44,2023-11-18 09:51:43,3.19,2023-11-18 09:51:30,Calgary,2.75,2023-11-18 09:51:43,3.31,2023-11-18 09:51:30,2.842,2.962,5.804,0.496,0.504
Pittsburgh,3.53,2023-11-18 09:51:43,2.8,2023-11-18 09:51:30,Carolina,3.19,2023-11-18 09:51:43,3.25,2023-11-18 09:51:30,3.387,2.989,6.376,0.511,0.489
NY Rangers,3.29,2023-11-18 09:51:43,2.14,2023-11-18 09:51:30,New Jersey,3.73,2023-11-18 09:51:43,3.73,2023-11-18 09:51:30,3.503,2.825,6.328,0.518,0.482
