ranking,team,pa_2023,last_3,last_1,home,away,pa_2022,pa_average,timestamp
1,Minnesota,106.0,113.3,124.0,103.8,108.2,115.4,110.70,2024-06-18 11:18:05
2,Orlando,107.4,102.0,106.0,103.6,111.1,114.0,110.70,2024-06-18 11:18:05
3,Boston,107.6,103.0,88.0,106.5,108.8,110.9,109.25,2024-06-18 11:18:05
4,Miami,108.1,108.0,118.0,109.5,106.8,109.0,108.55,2024-06-18 11:18:05
5,New York,108.7,112.3,130.0,106.1,111.4,111.5,110.10,2024-06-18 11:18:06
6,Denver,108.9,103.3,98.0,107.8,110.1,111.0,109.95,2024-06-18 11:18:06
7,Cleveland,109.4,109.3,113.0,108.9,109.8,106.5,107.95,2024-06-18 11:18:06
8,New Orleans,110.3,109.0,97.0,110.6,109.9,112.6,111.45,2024-06-18 11:18:06
9,Okla City,111.2,105.7,117.0,109.1,113.3,116.5,113.85,2024-06-18 11:18:06
10,Philadelphia,111.2,107.0,118.0,110.4,112.2,110.1,110.65,2024-06-18 11:18:06
11,LA Clippers,112.0,116.0,114.0,111.9,112.1,113.6,112.80,2024-06-18 11:18:06
12,Memphis,112.8,119.7,126.0,111.3,114.3,112.9,112.85,2024-06-18 11:18:06
13,Dallas,113.0,98.7,106.0,112.6,113.5,114.1,113.55,2024-06-18 11:18:07
14,Houston,113.2,112.0,105.0,110.7,115.8,118.6,115.90,2024-06-18 11:18:07
15,Brooklyn,113.3,106.7,107.0,111.0,115.5,112.1,112.70,2024-06-18 11:18:07
16,Phoenix,113.4,117.7,122.0,113.3,113.5,112.2,112.80,2024-06-18 11:18:07
17,Chicago,113.7,116.0,112.0,111.8,115.7,111.6,112.65,2024-06-18 11:18:07
18,Sacramento,114.5,93.7,105.0,115.7,113.2,117.9,116.20,2024-06-18 11:18:07
19,Golden State,115.2,116.0,118.0,116.8,113.6,116.6,115.90,2024-06-18 11:18:07
20,Portland,115.4,112.3,121.0,114.7,116.1,117.4,116.40,2024-06-18 11:18:07
21,Milwaukee,116.1,112.7,120.0,113.8,118.5,113.9,115.00,2024-06-18 11:18:07
22,LA Lakers,116.7,109.3,108.0,115.0,118.3,115.4,116.05,2024-06-18 11:18:08
23,Charlotte,116.8,118.3,110.0,116.1,117.5,117.2,117.00,2024-06-18 11:18:08
24,San Antonio,118.6,114.0,95.0,118.4,118.8,123.1,120.85,2024-06-18 11:18:08
25,Toronto,118.8,116.3,118.0,116.4,121.1,111.3,115.05,2024-06-18 11:18:08
26,Detroit,119.0,113.0,123.0,118.4,119.6,118.5,118.75,2024-06-18 11:18:08
27,Indiana,119.0,115.0,105.0,116.6,121.3,119.5,119.25,2024-06-18 11:18:08
28,Utah,120.5,117.7,123.0,117.8,123.3,118.0,119.25,2024-06-18 11:18:08
29,Atlanta,120.6,132.3,131.0,120.8,120.5,118.2,119.40,2024-06-18 11:18:08
30,Washington,123.0,130.3,132.0,121.9,124.2,114.4,118.70,2024-06-18 11:18:08
