ranking,team,pf_2023,last_3,last_1,home,away,pf_2022,pf_average,timestamp
1,Indiana,121.6,107.7,102.0,124.0,119.2,116.3,118.95,2024-06-18 11:17:49
2,Okla City,118.5,102.7,116.0,121.4,115.6,117.3,117.90,2024-06-18 11:17:49
3,Milwaukee,118.4,108.7,98.0,120.5,116.3,117.0,117.70,2024-06-18 11:17:50
4,Boston,118.4,98.7,106.0,120.9,115.7,116.8,117.60,2024-06-18 11:17:50
5,Atlanta,118.3,112.3,116.0,121.9,114.8,118.2,118.25,2024-06-18 11:17:50
6,Golden State,117.5,108.7,94.0,117.5,117.5,118.1,117.80,2024-06-18 11:17:50
7,LA Lakers,117.3,110.0,106.0,118.4,116.4,116.3,116.80,2024-06-18 11:17:50
8,Sacramento,116.4,112.3,98.0,118.5,114.2,120.2,118.30,2024-06-18 11:17:50
9,Utah,115.7,116.7,116.0,119.5,111.8,117.1,116.40,2024-06-18 11:17:50
10,Phoenix,115.6,106.0,116.0,115.7,115.6,113.7,114.65,2024-06-18 11:17:51
11,Dallas,115.3,103.0,88.0,116.6,114.1,114.2,114.75,2024-06-18 11:17:51
12,LA Clippers,114.6,103.3,101.0,114.2,115.0,113.7,114.15,2024-06-18 11:17:51
13,Houston,114.3,117.7,116.0,116.0,112.7,110.7,112.50,2024-06-18 11:17:51
14,Philadelphia,114.1,106.3,115.0,114.9,113.2,113.7,113.90,2024-06-18 11:17:51
15,Washington,113.7,123.3,122.0,112.8,114.7,113.2,113.45,2024-06-18 11:17:51
16,New Orleans,113.7,88.7,89.0,113.2,114.2,114.4,114.05,2024-06-18 11:17:51
17,Denver,113.2,90.7,90.0,115.9,110.5,115.3,114.25,2024-06-18 11:17:51
18,New York,112.4,111.0,109.0,111.7,113.1,114.1,113.25,2024-06-18 11:17:52
19,Toronto,112.4,102.7,103.0,110.4,114.3,112.8,112.60,2024-06-18 11:17:52
20,Chicago,112.2,113.7,91.0,112.0,112.5,112.8,112.50,2024-06-18 11:17:52
21,San Antonio,112.1,111.0,123.0,114.2,110.0,113.0,112.55,2024-06-18 11:17:52
22,Minnesota,112.1,105.0,103.0,111.1,113.1,115.1,113.60,2024-06-18 11:17:52
23,Cleveland,110.8,97.7,98.0,112.6,109.0,111.2,111.00,2024-06-18 11:17:52
24,Brooklyn,110.4,99.7,86.0,112.2,108.5,112.4,111.40,2024-06-18 11:17:52
25,Detroit,109.9,102.3,95.0,110.3,109.5,110.3,110.10,2024-06-18 11:17:53
26,Orlando,109.7,100.0,94.0,112.4,107.1,111.4,110.55,2024-06-18 11:17:53
27,Miami,109.1,85.3,84.0,111.0,107.3,109.1,109.10,2024-06-18 11:17:53
28,Charlotte,106.6,111.0,120.0,108.1,105.1,111.0,108.80,2024-06-18 11:17:53
29,Portland,106.4,93.7,82.0,108.0,104.7,113.4,109.90,2024-06-18 11:17:53
30,Memphis,105.8,109.7,111.0,104.0,107.7,116.1,110.95,2024-06-18 11:17:53
