ranking,team,pa_2023,last_3,last_1,home,away,pa_2022,pa_average,timestamp
1,Baltimore,16.2,14.7,17.0,17.0,15.0,18.8,17.50,2024-02-06 12:10:40
2,Kansas City,16.8,13.7,10.0,15.7,17.6,22.2,19.50,2024-02-06 12:10:40
3,San Francisco,18.4,24.3,31.0,20.5,16.1,17.2,17.80,2024-02-06 12:10:40
4,Buffalo,18.7,19.3,27.0,16.2,21.4,19.1,18.90,2024-02-06 12:10:40
5,Tampa Bay,19.2,13.3,31.0,16.2,21.9,21.6,20.40,2024-02-06 12:10:40
6,New Orleans,19.2,20.0,17.0,18.9,19.6,20.3,19.75,2024-02-06 12:10:40
7,Las Vegas,19.5,17.0,14.0,15.6,23.9,24.6,22.05,2024-02-06 12:10:40
8,Pittsburgh,19.7,21.3,31.0,19.2,20.2,20.4,20.05,2024-02-06 12:10:40
9,Dallas,20.2,25.7,48.0,19.4,20.9,19.7,19.95,2024-02-06 12:10:40
10,NY Jets,20.9,22.7,3.0,19.6,22.4,18.6,19.75,2024-02-06 12:10:41
11,Houston,21.1,22.3,34.0,19.7,22.7,24.7,22.90,2024-02-06 12:10:41
12,Minnesota,21.3,31.0,30.0,23.3,19.6,25.4,23.35,2024-02-06 12:10:41
13,Green Bay,21.4,21.7,24.0,20.0,22.4,21.8,21.60,2024-02-06 12:10:41
14,New England,21.5,22.3,17.0,22.3,20.9,20.4,20.95,2024-02-06 12:10:41
15,Tennessee,21.6,22.0,20.0,18.8,24.1,21.1,21.35,2024-02-06 12:10:41
16,Jacksonville,21.8,19.3,28.0,22.4,21.3,21.4,21.60,2024-02-06 12:10:41
17,Atlanta,21.9,31.7,48.0,20.3,23.4,22.7,22.30,2024-02-06 12:10:41
18,LA Rams,22.3,23.0,24.0,20.4,23.8,22.6,22.45,2024-02-06 12:10:42
19,Chicago,22.3,16.7,17.0,19.9,24.4,27.2,24.75,2024-02-06 12:10:42
20,Cincinnati,22.6,24.3,14.0,19.1,26.5,19.6,21.10,2024-02-06 12:10:42
21,Cleveland,22.6,32.0,45.0,13.9,31.3,22.4,22.50,2024-02-06 12:10:42
22,Miami,23.2,34.3,26.0,17.3,29.0,24.1,23.65,2024-02-06 12:10:42
23,LA Chargers,23.4,17.7,13.0,23.1,23.8,23.1,23.25,2024-02-06 12:10:42
24,Seattle,23.6,22.3,20.0,23.9,23.4,24.6,24.10,2024-02-06 12:10:42
25,Detroit,23.8,26.7,34.0,21.9,25.6,25.1,24.45,2024-02-06 12:10:42
26,NY Giants,23.9,23.0,10.0,18.6,28.7,22.8,23.35,2024-02-06 12:10:42
27,Denver,24.3,20.7,27.0,19.6,29.6,21.1,22.70,2024-02-06 12:10:43
28,Indianapolis,24.4,24.0,23.0,25.4,23.3,25.1,24.75,2024-02-06 12:10:43
29,Carolina,24.5,22.7,9.0,20.4,28.1,22.0,23.25,2024-02-06 12:10:43
30,Philadelphia,25.6,31.3,32.0,29.4,22.5,19.8,22.70,2024-02-06 12:10:43
31,Arizona,26.8,26.3,21.0,29.8,24.1,26.4,26.60,2024-02-06 12:10:43
32,Washington,30.5,31.7,38.0,34.0,27.3,20.2,25.35,2024-02-06 12:10:43
