ranking,team,pf_2023,last_3,last_1,home,away,pf_2022,pf_average,timestamp
1,Dallas,30.1,30.0,32.0,36.8,23.3,26.8,28.45,2024-02-06 12:10:25
2,San Francisco,28.9,26.0,34.0,27.6,30.3,25.9,27.40,2024-02-06 12:10:25
3,Miami,27.9,13.3,7.0,31.9,24.0,23.8,25.85,2024-02-06 12:10:25
4,Baltimore,27.7,18.0,10.0,30.1,24.5,20.4,24.05,2024-02-06 12:10:25
5,Detroit,27.4,28.7,31.0,29.9,24.8,26.6,27.00,2024-02-06 12:10:25
6,Buffalo,26.6,25.3,24.0,29.1,23.9,27.7,27.15,2024-02-06 12:10:25
7,Philadelphia,24.6,16.7,9.0,30.9,19.5,29.1,26.85,2024-02-06 12:10:26
8,Green Bay,23.8,28.7,21.0,19.4,27.0,21.8,22.80,2024-02-06 12:10:26
9,LA Rams,23.7,23.3,23.0,23.9,23.6,18.1,20.90,2024-02-06 12:10:26
10,New Orleans,23.6,31.0,48.0,25.1,22.3,19.4,21.50,2024-02-06 12:10:26
11,Indianapolis,23.3,17.3,19.0,25.7,20.6,17.0,20.15,2024-02-06 12:10:26
12,Cleveland,22.8,21.7,14.0,22.3,23.2,21.2,22.00,2024-02-06 12:10:26
13,Houston,22.7,26.0,10.0,26.6,18.4,17.0,19.85,2024-02-06 12:10:26
14,Jacksonville,22.2,19.3,20.0,20.5,23.7,23.9,23.05,2024-02-06 12:10:26
15,Kansas City,22.1,23.3,17.0,23.3,21.0,29.2,25.65,2024-02-06 12:10:26
16,Cincinnati,21.5,19.7,31.0,23.7,19.1,25.7,23.60,2024-02-06 12:10:27
17,Seattle,21.4,21.3,21.0,22.4,20.6,23.9,22.65,2024-02-06 12:10:27
18,Tampa Bay,21.2,21.3,23.0,19.2,23.0,18.2,19.70,2024-02-06 12:10:27
19,Chicago,21.2,24.3,9.0,24.9,17.9,19.2,20.20,2024-02-06 12:10:27
20,Denver,21.0,17.7,14.0,22.4,19.4,16.9,18.95,2024-02-06 12:10:27
21,LA Chargers,20.4,14.3,12.0,21.6,19.0,23.4,21.90,2024-02-06 12:10:27
22,Minnesota,20.2,18.0,20.0,19.3,21.1,24.9,22.55,2024-02-06 12:10:27
23,Las Vegas,19.5,22.3,27.0,23.2,15.4,23.2,21.35,2024-02-06 12:10:27
24,Arizona,19.4,23.7,20.0,23.5,15.8,20.0,19.70,2024-02-06 12:10:27
25,Washington,19.4,16.0,10.0,16.0,22.3,18.9,19.15,2024-02-06 12:10:28
26,Atlanta,18.9,21.0,17.0,24.0,14.3,21.5,20.20,2024-02-06 12:10:28
27,Tennessee,17.9,16.0,28.0,23.5,13.0,17.5,17.70,2024-02-06 12:10:28
28,Pittsburgh,17.8,21.3,17.0,18.3,17.3,18.1,17.95,2024-02-06 12:10:28
29,NY Jets,15.8,22.3,17.0,17.7,13.6,17.4,16.60,2024-02-06 12:10:28
30,NY Giants,15.6,25.7,27.0,14.1,17.0,21.2,18.40,2024-02-06 12:10:28
31,New England,13.9,16.7,3.0,12.9,14.8,21.4,17.65,2024-02-06 12:10:28
31,Carolina,13.9,10.0,0.0,13.4,14.3,20.4,17.15,2024-02-06 12:10:28
